Province,Year,Number of projects,Total registered capital (Mill. USD),Income,Poverty Rate,Number of Enterprises,Employment Rate,Trained Labour Rate,Governance Score,Quintile 1,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Ratio,Index of Industrial Output,RuralPop,UrbanPop,UrbanPercent,RuralPercent
Đồng Nai,2019,1662,31233100000,5860000,0.3,22398,55.8,20,37.2,2038,3157,4690,6145,13290,6.521099117,108.3,1742000,1371800,0.440554949,0.559445051
Đồng Nai,2020,1742,31754600000,5621000,0.3,24270,54.6,22.5,35.98,2630,4041,5074,6355,10025,3.811787072,103.6,1770700,1406700,0.442720463,0.557279537
Đồng Nai,2021,1796,33999300000,5751000,0.3,25055,54.3,21.9,30.42,2076,3674,4760,6025,12120,5.838150289,103.6,1750500,1418600,0.447634975,0.552365025
TP. Hồ Chí Minh,2011,3967,32019600000,2737000,0.1,104299,50.9,29.3,36.77,965,1542,2018,2727,6429,6.662176166,107.2,1269700,6248200,0.831109751,0.168890249
TP. Hồ Chí Minh,2013,4809,34852300000,3653000,0,120724,51,31.6,37.33,1302,2076,2752,3664,8447,6.487711214,106.3,1340800,6479200,0.8285422,0.171457801
TP. Hồ Chí Minh,2014,5271,38275800000,4839000,0,136267,50.9,32.5,37.1,1837,2703,3386,4377,11919,6.488296135,106.8,1427200,6554700,0.821195455,0.178804545
TP. Hồ Chí Minh,2015,5886,42366800000,4840000,5,148886,52,34,34.22,1838,2702,3383,4371,11895,6.471708379,107.2,1580300,6727600,0.809783459,0.190216541
TP. Hồ Chí Minh,2016,6762,45293400000,5481000,0.2,171250,50.9,34.8,34.91,2107,2996,3772,4916,13635,6.471286189,107.3,1650200,6829000,0.805382583,0.194617417
TP. Hồ Chí Minh,2017,7333,43879300000,5109000,0.1,204918,51.5,36.6,35.88,1829,2996,3775,4978,11985,6.552761072,107.9,1721200,6928500,0.80101044,0.19898956
TP. Hồ Chí Minh,2018,8123,45194300000,6177000,0.1,228267,51.7,36.8,34.74,1928,4076,5057,6595,13262,6.878630705,108,1798200,7045100,0.796659618,0.203340382
TP. Hồ Chí Minh,2019,9202,47379100000,6758000,0.1,239623,51.9,37.1,36.63,2092,4162,5755,7394,14394,6.880497132,107.3,1877000,7161500,0.792332799,0.207667201
TP. Hồ Chí Minh,2020,9942,48222500000,6537000,0,254699,49.7,38.7,35.7,3406,4721,5653,7051,11868,3.484439225,95.4,1936700,7290900,0.790118774,0.209881226
TP. Hồ Chí Minh,2021,10394,52921600000,6008000,0,268465,47.3,35.6,30.29,2816,3741,4689,7067,11763,4.177201705,85.7,1927200,7239600,0.789763058,0.210236942
Long An,2011,406,3365900000,1289000,6.6,3236,56.7,8.5,39.84,435,717,1006,1414,2873,6.604597701,117.7,1191800,258100,0.178012277,0.821987723
Long An,2013,499,3776000000,1956000,6,3359,60.4,11.4,39.74,620,1220,1652,2197,4087,6.591935484,113.8,1204900,265000,0.180284373,0.819715627
Long An,2014,588,4231100000,2429000,5.4,3912,59.3,10.9,38.85,796,1445,1992,2672,5260,6.608040201,111.6,1211000,266300,0.180261288,0.819738713
Long An,2015,760,5406000000,2430000,5,4623,58.7,11.7,38.95,794,1441,1987,2666,5246,6.607052897,112.8,1355800,270500,0.166328476,0.833671524
Long An,2016,873,6500200000,3225000,4.8,5110,59,12.6,36.71,1078,1926,2575,3462,7118,6.60296846,113.5,1373900,271300,0.164903963,0.835096037
Long An,2017,962,6970700000,3242000,4,7831,58.8,14.6,38.3,1075,1926,2575,3462,7208,6.705116279,116.2,1390500,271800,0.163508392,0.836491608
Long An,2018,1042,7396400000,4215000,2.9,8883,58.8,16.1,36.17,1421,2359,3073,4092,10162,7.1513019,116.5,1406700,272200,0.162129966,0.837870034
Long An,2019,1170,7900800000,4544000,2.5,9694,59.1,16.7,35.54,1351,2581,3893,5228,9739,7.208734271,115.1,1422600,272500,0.160757477,0.839242523
Long An,2020,1233,8498900000,4232000,2,10476,58.9,15.9,36.8,1314,2737,3601,4743,8788,6.687975647,108,1401100,312500,0.182364613,0.817635388
Long An,2021,1253,12270700000,3725000,1.7,11088,56.3,15.1,31.43,1376,2414,3127,4244,7489,5.442587209,96.8,1409300,316500,0.183393209,0.816606791
Tiền Giang,2011,43,859200000,1313000,10,2813,57.2,10.2,37.67,432,719,1003,1430,2979,6.895833333,115.6,1417200,265400,0.157732081,0.842267919
Tiền Giang,2013,59,1295700000,1941000,8.3,2989,61.9,9.7,38.65,622,1099,1541,2152,4277,6.876205788,112.1,1452100,251300,0.147528473,0.852471528
Tiền Giang,2014,70,1439400000,2595000,7.1,2944,60.3,8.9,35.62,850,1536,2038,2770,5836,6.865882353,108.1,1451700,264400,0.154070276,0.845929724
Tiền Giang,2015,78,1532500000,2596000,6.3,2989,61.6,12.7,34.06,849,1533,2034,2760,5801,6.832744405,115.2,1486700,242000,0.139989588,0.860010412
Tiền Giang,2016,99,2069200000,3122000,5.7,3541,61.8,11.7,36.56,1033,1819,2447,3269,7055,6.829622459,114.8,1496500,243600,0.139991955,0.860008046
Tiền Giang,2017,104,2201600000,3139000,4.7,4165,61.6,10.2,35.64,1028,1819,2447,3269,7144,6.949416342,115,1506600,245300,0.140019408,0.859980593
Tiền Giang,2018,114,2192000000,3983000,3.2,4347,63.1,11.8,35.2,1183,2413,3157,4101,9090,7.683854607,112.1,1512800,246300,0.14001478,0.85998522
Tiền Giang,2019,117,2581200000,4296000,2.6,4512,62.6,11.7,35.77,1176,2885,3633,4712,9087,7.727040816,111.1,1519000,247300,0.140010191,0.859989809
Tiền Giang,2020,126,2745100000,4534000,2,4853,61,14.2,36.47,1729,2847,3634,5240,9239,5.343551186,101.6,1520600,251900,0.142115656,0.857884344
Tiền Giang,2021,128,2885000000,3932000,1.7,5060,55.3,13.8,28.86,1524,2617,3356,4372,7816,5.128608924,97.2,1525800,253600,0.142519951,0.85748005
Bến Tre,2011,23,177900000,1200000,14.1,1707,60.8,9.3,37.13,421,640,859,1208,2870,6.817102138,108.4,1131600,126100,0.100262384,0.899737616
Bến Tre,2013,37,321900000,1580000,11.9,1808,60.6,8.5,37.65,503,845,1213,1765,3551,7.059642147,111.9,1133300,127200,0.100912336,0.899087664
Bến Tre,2014,46,404700000,2161000,10.2,1792,63.6,9.4,36.57,702,1192,1683,2290,4971,7.081196581,102.7,1133000,129200,0.102360957,0.897639043
Bến Tre,2015,55,591100000,2162000,8.6,1925,62.5,12.6,36.85,702,1192,1681,2284,4954,7.056980057,108.5,1149700,126100,0.098839944,0.901160056
Bến Tre,2016,56,781400000,2442000,10.1,2094,62.6,12.2,38.37,778,1343,1993,2676,5518,7.092544987,106.5,1152500,126100,0.098623494,0.901376506
Bến Tre,2017,59,865300000,2450000,8.7,2925,62.6,12.9,39.52,770,1342,1933,2676,5569,7.232467532,108,1156200,126200,0.098409233,0.901590767
Bến Tre,2018,61,1053600000,3408000,6.7,3169,63.2,9.2,38.56,1049,1754,2487,3711,8066,7.689227836,113.8,1159700,126300,0.098211509,0.901788491
Bến Tre,2019,64,1079400000,3685000,5.6,3065,63.2,11.6,39.93,1138,1795,2787,3860,8895,7.816344464,109.6,1162700,126400,0.098052905,0.901947095
Bến Tre,2020,62,1611900000,3544000,5,3326,62.8,12.6,38.18,1090,1965,2782,3840,8065,7.399082569,104,1165700,126700,0.098034664,0.901965336
Bến Tre,2021,64,1583900000,3367000,4.6,3473,58.7,12.9,29.28,1129,1809,2685,3799,7432,6.582816652,94.8,1167400,128300,0.099019835,0.900980165
Trà Vinh,2011,30,146500000,1089000,21.1,1025,58.9,7.8,31.93,336,549,778,1199,2571,7.651785714,115.2,853400,158700,0.156802688,0.843197313
Trà Vinh,2013,31,196900000,1398000,16.4,1138,58,12.3,36.96,401,717,1035,1490,3325,8.291770574,106.3,854500,169400,0.165445844,0.834554156
Trà Vinh,2014,33,207000000,2098000,13.9,1147,58.5,13,35.82,580,1094,1648,2372,4825,8.318965517,110.4,856300,172900,0.167994559,0.832005441
Trà Vinh,2015,27,2684100000,2098000,12,1228,57.6,10.4,35.25,577,1091,1640,2362,4805,8.327556326,112.6,840300,166500,0.165375447,0.834624553
Trà Vinh,2016,33,2940600000,2213000,13.9,1417,57.8,11.7,33.62,628,1190,1663,2403,5201,8.281847134,117.3,839200,168400,0.167129813,0.832870187
Trà Vinh,2017,37,3080500000,2220000,12,1765,57.8,12.1,36.33,622,1185,1663,2403,5245,8.432475884,143,838300,169800,0.168435671,0.831564329
Trà Vinh,2018,39,3231200000,2869000,9.9,1878,57,10.9,35.55,778,1521,2161,3003,6908,8.879177378,114.3,836800,172000,0.170499604,0.829500397
Trà Vinh,2019,43,3330700000,3138000,8.4,2037,55.9,11.8,36.41,806,1631,2543,3461,7268,9.017369727,127.7,835200,174100,0.172495789,0.827504211
Trà Vinh,2020,42,3332400000,3437000,7.4,2301,54.5,11.6,35.97,1068,1889,2548,3315,8395,7.860486891,111.5,834100,175800,0.174076641,0.825923359
Trà Vinh,2021,43,3344300000,3290000,6.6,2436,50.8,10.8,30.22,964,1462,2436,3551,8090,8.392116183,88.1,840300,178400,0.17512516,0.824874841
Vĩnh Long,2011,19,91400000,1239000,9.2,1539,58.6,9.1,35.8,455,719,983,1318,2717,5.971428571,113.3,869800,159300,0.154795452,0.845204548
Vĩnh Long,2013,24,97400000,1744000,7.4,1703,58.5,9.9,37.55,599,1056,1454,1970,3624,6.050083472,112,863800,174000,0.167662363,0.832337637
Vĩnh Long,2014,27,131200000,2204000,6.3,1722,59.1,12,39.73,797,1249,1751,2452,4784,6.00250941,109.8,866300,175200,0.168218915,0.831781085
Vĩnh Long,2015,27,234200000,2204000,5.4,1772,59.3,13.8,36.74,793,1244,1746,2445,4773,6.018915511,111.6,854400,168800,0.164972635,0.835027365
Vĩnh Long,2016,38,478700000,2372000,9.3,1876,58.2,14.4,36.08,835,1391,1875,2642,5131,6.14491018,111.3,853800,169100,0.165314303,0.834685698
Vĩnh Long,2017,38,552600000,2378000,7.9,2419,58.4,15.7,37.66,827,1391,1875,2642,5171,6.252720677,109.1,853200,169400,0.165656171,0.83434383
Vĩnh Long,2018,47,604800000,3089000,6.5,2454,58.8,18.1,35.98,1035,1779,2368,3318,6957,6.72173913,109.6,853000,169700,0.165933314,0.834066686
Vĩnh Long,2019,62,741600000,3329000,5.8,2483,59.4,15.3,35.54,1080,1765,2718,3717,7380,6.833333333,115,852800,169800,0.16604733,0.83395267
Vĩnh Long,2020,62,817700000,3201000,5.1,2663,57.6,15.8,35.64,1040,1863,2617,3598,6918,6.651923077,97.5,790900,232100,0.22688172,0.77311828
Vĩnh Long,2021,67,874700000,3173000,4.6,2792,55.5,15.6,30.87,1094,1912,2603,3432,6864,6.274223035,93.3,795300,233700,0.227113703,0.772886297
Đồng Tháp,2011,16,46800000,1138000,12.9,1713,58.2,7.4,37.22,335,635,869,1195,2650,7.910447761,119.3,1376100,297100,0.177563949,0.822436051
Đồng Tháp,2013,19,61500000,1666000,10.2,2032,57.2,9.1,34.51,518,834,1161,1676,4129,7.971042471,106.8,1378900,299500,0.178443756,0.821556244
Đồng Tháp,2014,20,91500000,2134000,8.6,2100,59.1,8.7,0,668,1106,1540,2270,5104,7.640718563,108.9,1380300,301000,0.179028133,0.820971867
Đồng Tháp,2015,17,105500000,2134000,7.2,2160,58.7,11,37.91,665,1104,1539,2266,5092,7.657142857,109.8,1333000,292700,0.180045519,0.819954481
Đồng Tháp,2016,18,118200000,2678000,8,2420,64.4,11.6,37.88,836,1389,1946,2824,6404,7.660287081,104.7,1326900,292100,0.180420012,0.819579988
Đồng Tháp,2017,21,169400000,2691000,6.9,3042,59,15.3,37.34,827,1389,1946,2824,6479,7.834340992,107,1320900,291600,0.180837209,0.819162791
Đồng Tháp,2018,16,157200000,3499000,5.6,3266,64.2,11.4,25.33,978,1906,2659,3523,8463,8.653374233,107.2,1313800,292300,0.181993649,0.818006351
Đồng Tháp,2019,18,168700000,3777000,4.7,3404,57.4,13.5,38.19,931,2540,3254,4061,8138,8.741138561,108.3,1294100,304700,0.190580435,0.809419565
Đồng Tháp,2020,19,172100000,3965000,4,3611,55.9,15,39.16,1866,3002,3644,4472,6854,3.673097535,101.8,1293900,306100,0.1913125,0.8086875
Đồng Tháp,2021,22,232800000,4199000,3.7,3717,54.3,14.3,30.6,1791,3055,3763,4620,7786,4.347292016,91.5,1278100,323200,0.201836008,0.798163992
An Giang,2011,16,121800000,1319000,8.5,2231,59.2,8,33.38,425,713,991,1413,3051,7.178823529,108.9,1508400,643100,0.298907739,0.701092261
An Giang,2013,17,86700000,1871000,6.2,2515,57.8,10.6,35.04,615,985,1322,1845,4578,7.443902439,105.1,1499400,653900,0.303673432,0.696326569
An Giang,2014,27,255500000,2471000,5,2509,55.3,9.8,37.14,827,1256,1723,2415,6150,7.436517533,102.6,1503500,652300,0.302579089,0.697420911
An Giang,2015,27,204000000,2472000,3.9,2886,55.5,9,34.29,826,1254,1720,2409,6125,7.415254237,105,1394200,606600,0.303178729,0.696821272
An Giang,2016,26,182100000,2909000,7.6,3023,55.9,10.1,35.63,964,1514,2078,2862,7144,7.410788382,105.7,1370600,605800,0.306516899,0.693483101
An Giang,2017,25,198200000,2892000,6.8,4414,54.6,12.5,37.51,936,1514,2078,2862,7083,7.567307692,106.9,1348600,605600,0.309896633,0.690103367
An Giang,2018,25,208100000,3559000,5.7,4470,54.8,13.6,36.18,1008,2029,2716,3643,8423,8.356150794,108.9,1326000,605000,0.313309166,0.686690834
An Giang,2019,26,267600000,3841000,4.9,4449,51,14.6,36.09,1046,2049,3109,4176,8887,8.496175908,109.9,1304800,602600,0.315927441,0.68407256
An Giang,2020,27,270900000,3338000,4,4794,50.5,13.9,36.85,1165,2124,2953,3864,6589,5.655793991,103.3,1302900,601600,0.315883434,0.684116566
An Giang,2021,29,292800000,3406000,3.5,4856,46.3,13.4,31.36,1141,1998,2830,3769,7315,6.411042945,103.1,1263500,646000,0.338308458,0.661691542
Kiên Giang,2011,28,3024800000,1316000,8.1,3412,57.3,9.9,34.75,390,641,940,1349,3245,8.320512821,109.1,1246600,465500,0.271888324,0.728111676
Kiên Giang,2013,34,2915600000,1963000,5.6,3479,55.7,9.7,35.52,575,929,1356,2030,4911,8.540869565,108.9,1258000,476300,0.2746353,0.725364701
Kiên Giang,2014,38,2925100000,2642000,4.5,3793,56.8,9.3,35.32,792,1300,1834,2529,6798,8.583333333,106.2,1280600,464900,0.266342022,0.733657978
Kiên Giang,2015,38,2957600000,2642000,3.6,4091,54.7,10.9,34.44,788,1295,1828,2522,6763,8.58248731,108.6,1232000,473400,0.277588836,0.722411165
Kiên Giang,2016,42,3076000000,3001000,8.2,4791,54.7,12.3,33.2,875,1439,2067,2973,7681,8.778285714,106.3,1231800,476900,0.279101071,0.720898929
Kiên Giang,2017,48,4371300000,3016000,7.1,6782,54.2,10.8,35.71,866,1439,2067,2973,7767,8.968822171,108.5,1232300,480600,0.2805768,0.7194232
Kiên Giang,2018,51,4724500000,3779000,5.8,7375,53.5,15.4,35.01,905,2150,2921,3959,8968,9.909392265,108,1233500,484600,0.282055759,0.717944241
Kiên Giang,2019,60,4802200000,4079000,4.8,7276,53.5,13.6,35.69,1001,2167,2947,4267,10085,10.07492507,111.4,1234900,488800,0.283576028,0.716423972
Kiên Giang,2020,62,4808100000,4369000,4.1,7777,51.3,14.8,34.75,1351,2332,3185,4314,10698,7.91857883,104,1237100,491800,0.284458326,0.715541674
Kiên Giang,2021,62,4808100000,3986000,3.6,8071,50.1,15.7,29.27,1149,2131,3017,4215,9453,8.227154047,101.1,1248000,504400,0.287833828,0.712166172
Cần Thơ,2011,56,850800000,1540000,6.6,4302,55.4,13,35.61,516,894,1220,1624,3437,6.660852713,110.8,407600,795100,0.661095868,0.338904132
Cần Thơ,2013,64,781700000,2325000,5.3,3804,55.5,15.2,37.38,767,1298,1793,2481,5264,6.863102999,107.7,410800,817700,0.665608466,0.334391534
Cần Thơ,2014,72,817400000,2672000,4.5,4247,55.1,16.9,34.22,923,1560,2113,2830,5953,6.449620802,108.2,412400,825900,0.666962772,0.333037229
Cần Thơ,2015,74,799200000,2673000,3.1,4649,58.8,19.1,39.34,924,1557,2109,2825,5939,6.427489177,107.3,384400,824100,0.681919735,0.318080265
Cần Thơ,2016,81,618200000,3347000,4.6,5832,54.7,19.9,39.57,1180,1903,2500,3382,7822,6.628813559,108.8,381600,833000,0.685822493,0.314177507
Cần Thơ,2017,76,643600000,3365000,3.9,7465,58.3,21.1,38.3,1176,1903,2500,3382,7917,6.732142857,107.2,379800,842700,0.689325153,0.310674847
Cần Thơ,2018,82,693000000,4371000,2.7,7824,58.5,24.2,37.32,1476,2371,3214,4238,10575,7.164634146,107.8,377100,850600,0.69284027,0.30715973
Cần Thơ,2019,85,725800000,4713000,2.2,8471,56.7,16.4,38.45,1494,2483,3778,5037,10799,7.228246319,107.7,374700,861300,0.69684466,0.30315534
Cần Thơ,2020,83,739400000,5031000,2,9088,55.9,20.6,35.94,1471,2692,3598,4754,12710,8.640380693,96.5,371900,868800,0.700249859,0.299750141
Cần Thơ,2021,84,2052900000,4794000,1.8,9622,45.1,24.2,30.12,1842,2745,3584,5904,9990,5.423452769,94.7,370100,876900,0.703207699,0.296792302
Hậu Giang,2011,9,673500000,1098000,16.5,887,57.6,8.2,34.3,358,583,815,1184,2539,7.092178771,126.8,586000,181600,0.236581553,0.763418447
Hậu Giang,2013,17,692500000,1527000,14,1217,59.1,8.6,37.81,467,822,1196,1695,3453,7.394004283,104.5,582800,183400,0.239363091,0.760636909
Hậu Giang,2014,18,697500000,2088000,12.4,1238,58.3,9.7,36.58,656,1177,1560,2233,4844,7.384146341,95,582300,186000,0.242092932,0.757907068
Hậu Giang,2015,20,1351200000,2088000,9.9,1345,58.1,11.7,33.76,652,1176,1558,2220,4817,7.38803681,106.2,571300,171100,0.23046875,0.76953125
Hậu Giang,2016,19,792700000,2601000,10.7,1551,60.2,9.8,34.63,838,1420,1909,2675,6188,7.38424821,107.3,565000,175000,0.236486487,0.763513514
Hậu Giang,2017,21,793600000,2611000,9.4,1843,61,9,36.17,831,1420,1909,2675,6247,7.517448857,109.6,558300,178900,0.242674986,0.757325014
Hậu Giang,2018,21,450100000,3548000,7.3,1899,60.3,9.7,34.35,1005,2101,2743,3572,8352,8.310447761,111.2,551900,183000,0.249013471,0.750986529
Hậu Giang,2019,23,519800000,3871000,6.2,1998,55.7,10.8,36.02,1080,1860,3140,4199,9126,8.45,110.2,534400,197700,0.270045076,0.729954924
Hậu Giang,2020,23,522500000,3974000,5.6,2236,53.6,14.2,36.05,1384,2419,3111,4275,8697,6.283959538,108.1,525700,204100,0.279665662,0.720334338
Hậu Giang,2021,29,686100000,3761000,5.2,2349,51.3,13.5,30.77,1280,2432,3099,4160,7857,6.13828125,104.8,517200,212700,0.291409782,0.708590218
Sóc Trăng,2011,9,29600000,1029000,20.5,1297,55.8,7.7,35.13,342,538,711,1044,2507,7.330409357,107.5,941000,359200,0.27626519,0.72373481
Sóc Trăng,2013,11,35400000,1324000,17.7,1490,54.1,13.5,36.15,406,704,994,1447,3064,7.54679803,104.7,932200,372400,0.285451479,0.714548521
Sóc Trăng,2014,12,105600000,1912000,15.6,1449,52.4,10.4,35.78,567,1178,1502,2000,4325,7.627865961,125.4,890200,417600,0.31931488,0.68068512
Sóc Trăng,2015,13,118600000,1913000,12,1591,51.8,9.7,35.27,567,1177,1500,1996,4316,7.611992945,103.5,860500,375800,0.303971528,0.696028472
Sóc Trăng,2016,14,123600000,2536000,10.2,1693,52.3,9.8,35.48,829,1348,1778,2453,6306,7.606755127,111.5,848300,379300,0.308976865,0.691023135
Sóc Trăng,2017,13,126300000,2548000,8.7,2136,53.8,10.4,35.1,821,1348,1778,2453,6375,7.764920828,110.8,835800,382500,0.313962078,0.686037922
Sóc Trăng,2018,15,240600000,3652000,6.7,2324,53.7,11.4,36.02,1128,1817,2419,3231,9689,8.589539007,106.8,823300,385500,0.318911317,0.681088683
Sóc Trăng,2019,15,247400000,3898000,5.6,2412,53.3,12.2,35.75,965,2155,3366,4605,8419,8.724352332,107.9,811000,388500,0.323884952,0.676115048
Sóc Trăng,2020,17,299100000,3635000,5,2676,52.7,15.2,33.79,1290,2230,3046,4012,7624,5.910077519,116.3,809100,386600,0.323325249,0.676674751
Sóc Trăng,2021,14,228800000,3246000,4.7,2813,49.5,11.9,30.2,1330,2276,2950,3788,5912,4.445112782,99,815400,391400,0.324328803,0.675671197
Bạc Liêu,2011,17,89200000,1273000,12.9,892,56.7,6.5,34.28,396,705,985,1382,2893,7.305555556,113,637200,234200,0.26876291,0.73123709
Bạc Liêu,2013,18,89600000,2035000,10.7,896,55.7,9.7,34.76,586,1251,1795,2392,4141,7.066552901,105.3,634300,239300,0.273923993,0.726076007
Bạc Liêu,2014,19,94500000,2213000,9.5,850,56,9.6,36.01,682,1326,1844,2434,4798,7.035190616,105.2,646500,231400,0.263583552,0.736416448
Bạc Liêu,2015,17,94200000,2214000,8.4,868,56,9,34.96,678,1317,1839,2431,4781,7.051622419,114.1,646000,241300,0.271948608,0.728051392
Bạc Liêu,2016,16,74800000,2312000,13.3,1225,54.3,9.9,33.34,716,1322,1888,2600,5045,7.046089385,103.4,648700,244100,0.273409498,0.726590502
Bạc Liêu,2017,11,71500000,2319000,11.5,1587,55.2,11.3,38.72,708,1320,1888,2600,5088,7.186440678,109,651000,246700,0.274813412,0.725186588
Bạc Liêu,2018,11,439900000,2699000,9.4,1779,55.3,8.2,35.27,703,1824,2394,3189,5420,7.709815078,112.3,653500,249500,0.276301218,0.723698782
Bạc Liêu,2019,13,553400000,2965000,7.9,1882,55.1,8.8,35.72,853,1779,2340,3196,6687,7.839390387,112.4,656000,252300,0.277771661,0.722228339
Bạc Liêu,2020,13,4551000000,3338000,6.7,2078,53.8,10.3,34.91,1463,2491,2869,3614,6269,4.285030759,104.1,659800,253600,0.277643968,0.722356032
Bạc Liêu,2021,14,4551000000,3642000,5.8,2194,51.2,10.7,33.01,1832,2839,3424,3960,6169,3.367358079,109.3,663600,254900,0.277517692,0.722482308
Cà Mau,2011,6,780100000,1250000,10.9,2156,55,5.5,35.48,363,675,947,1375,2886,7.950413223,101.1,951300,260900,0.21522851,0.78477149
Cà Mau,2013,8,785600000,1779000,6.6,2302,55.6,7.5,34.58,578,887,1192,1646,4565,7.897923875,112.4,940900,273300,0.225086477,0.774913523
Cà Mau,2014,9,788600000,2154000,5.7,2291,56.4,7.1,37.17,650,1120,1580,2286,5143,7.912307692,109.1,942000,274400,0.22558369,0.77441631
Cà Mau,2015,9,789500000,2154000,4.7,2461,55.6,10.2,35.82,648,1118,1576,2277,5130,7.916666667,100.8,933600,266000,0.22174058,0.77825942
Cà Mau,2016,11,793400000,2364000,11.9,2813,56.6,10.2,34.22,725,1199,1660,2380,5871,8.097931034,98.2,930800,267300,0.223103247,0.776896753
Cà Mau,2017,11,40300000,2372000,10.1,3400,55.5,10.4,34.95,718,1194,1660,2380,5923,8.249303621,103.4,928200,268800,0.224561404,0.775438597
Cà Mau,2018,11,70200000,2986000,8.3,3406,56.3,12.5,36.64,755,1741,2395,3238,6809,9.018543046,108.2,925300,270300,0.226078956,0.773921044
Cà Mau,2019,11,146700000,3214000,6.9,3406,56.7,12.3,36.99,812,1639,2604,3611,7442,9.165024631,106.1,922600,271700,0.227497279,0.772502721
Cà Mau,2020,10,150100000,3034000,5.9,3573,55,13,36.3,913,1535,2427,3363,6958,7.621029573,104.3,922800,271100,0.227070944,0.772929056
Cà Mau,2021,11,157800000,3239000,5.2,3659,48.3,14.1,31.02,922,1700,2627,3680,7292,7.908893709,100,933400,275300,0.227765368,0.772234632